!      0.698175917     -9.73819364       2.8856208               0 00000
!     -0.697992921      9.73709938     -2.88479683               0 00000
 ---------------------------------------------------------------------
      -1.75001632     -13.6102139     -1.64602959               0 12030
     -0.769017826     -3.52534716    -0.835943722               0 03030
       2.21165463      21.0634654      -14.257444               0 20130
      0.354431282      20.6314424     -6.57846857               0 11130
      0.867144114      9.51598991      -1.1244641               0 02130
      -13.0989599        54.38546     -50.3891674               0 10230
      -2.24659385    -0.541004629     -5.83709085               0 01230
      -3.63052507      19.1100539     -7.57479281               0 00330
     0.0850328334    -0.992323591     -5.55075536               0 20040
     -0.154569755      3.24805691     -1.97378169               0 11040
     0.0441110811      1.75696303    -0.411179903               0 02040
      -2.73980908      20.3586292     -11.0485206               0 10140
     -0.755760337      2.63950496      -1.4070476               0 01140
    -0.0623304137      -10.229849     0.103046717               0 00240
     -0.591128977      5.55926246      -2.9418829               0 10050
     -0.241772434       1.0294165    -0.479301361               0 01050
      0.185632536     -4.81861468     0.222576582               0 00150
     0.0877514931     -1.50542481    0.0656137388               0 00060
      0.292838822   -0.0779452895     0.044292394     0.845582884 00001
      -1.40937257     0.301926272    -0.187978798     -2.47726545 10001
       3.33484635    -0.862548002     0.574689547      10.5041925 01001
      0.013045016      4.51258325    -0.861523847    0.0259132153 00101
    -0.0618394303     -47.7437684      8.94535901    -0.107744042 00011
      -1.06632062      0.16674145    -0.107916202      -1.3022916 00002
 ---------------------------------------------
